Make,Model_part,Models
Ford,Ranger4,Ranger4WD
Ford,RangerE,RangerEdge
Ford,RangerR,"RangerReg,RangerRegular"
Ford,RangerS,RangerSuperCab
Ford,RangerX,"RangerXL,RangerXLT"
Ford,Super,Super
Ford,Taurus,Taurus
Ford,Taurus4,Taurus4dr
Ford,TaurusB,TaurusBase
Ford,TaurusG,TaurusGL
Ford,TaurusL,"TaurusLimited,TaurusLX"
Ford,TaurusP,TaurusPolice
Ford,TaurusS,"TaurusSEL,TaurusSHO,TaurusSE,TaurusSES"
Ford,Thunder,"Thunderbird2dr,ThunderbirdDeluxe,ThunderbirdPremium,Thunderbird50th,ThunderbirdPacific"
Ford,Transit,Transit
Ford,Windsta,Windstar
Ford,ZX22dr,ZX22dr
