Make,Model_part,Models
Jeep,Cher,"CherokeeLimited,CherokeeLatitude,Cherokee4WD,CherokeeTrailhawk,Cherokee2dr,Cherokee4dr,CherokeeL,CherokeeFWD,CherokeeSport,CherokeeOverland,CherokeeAltitude,Cherokee75th,CherokeeHigh,CherokeeClassic,CherokeeSE,CherokeeSPORT"
Jeep,Comm,"Commander2WD,Commander4WD,Commander4dr,CommanderRWD,CommanderSport,CommanderLimited,CommanderBase,CommanderOverland"
Jeep,Comp,"CompassFWD,Compass2017.5,Compass4WD,CompassSport,CompassLatitude,CompassHigh,CompassLimited,Compass75th,Compass2WD,CompassAltitude,CompassBase,Compass70th,CompassTrailhawk"
Jeep,Gran,Grand
Jeep,Libe,"Liberty4WD,Liberty2WD,Liberty4dr,LibertyRWD,LibertySport,LibertyLatitude,LibertyRenegade,LibertyLimited"
Jeep,Patr,"PatriotLimited,PatriotHigh,PatriotLatitude,Patriot4WD,PatriotSport,PatriotFWD,Patriot2WD,Patriot75th,PatriotAltitude,PatriotSPORT,PatriotNorth,PatriotPatriot"
Jeep,Rene,"RenegadeTrailhawk,RenegadeLimited,RenegadeLatitude,RenegadeJustice,RenegadeSport,RenegadeDeserthawk,Renegade4WD,Renegade75th,RenegadeAltitude"
Jeep,Wran,"WranglerSport,Wrangler2dr,Wrangler4WD,Wrangler2WD,WranglerWillys,WranglerRWD,WranglerFreedom,WranglerRubicon,WranglerSahara,Wrangler,Wrangler75th,WranglerBig,WranglerX,WranglerPolar,WranglerBackcountry,WranglerUnlimited,WranglerAltitude,WranglerHard,WranglerChief,WranglerSE,WranglerBlack,WranglerSAHARA,WranglerMojave,Wrangler70th,WranglerMoab,WranglerCall,WranglerArctic,WranglerIslander"
